timeMillis,timeNanos,x,y,z
1551338407439,619112925721642,-28.98,-44.52,-31.14
1551338407458,619112945721642,-28.619999,-44.16,-31.14
1551338407478,619112965721642,-28.019999,-43.379997,-31.5
1551338407499,619112985721642,-28.08,-42.899998,-31.5
1551338407517,619113005721642,-27.66,-42.48,-31.679998
1551338407538,619113025721842,-27.72,-43.5,-31.8
1551338407559,619113045721842,-28.68,-44.16,-31.859999
1551338407578,619113065721842,-28.68,-44.579998,-31.5
1551338407597,619113085721842,-28.98,-44.64,-31.619999
1551338407619,619113105721842,-29.22,-44.46,-31.38
1551338407642,619113125721842,-28.859999,-44.94,-30.779999
1551338407662,619113145721842,-28.439999,-44.82,-29.939999
1551338407683,619113165721842,-28.019999,-44.34,-29.22
1551338407700,619113185721842,-28.199999,-44.399998,-29.699999
1551338407721,619113205721842,-28.5,-43.8,-30.96
1551338407742,619113225721842,-28.68,-43.62,-31.859999
1551338407761,619113245721904,-29.16,-44.16,-32.399998
1551338407781,619113265721904,-28.92,-43.8,-32.399998
1551338407802,619113285721959,-28.619999,-43.68,-32.34
1551338407820,619113305721537,-29.22,-43.5,-33.36
1551338407839,619113325720687,-29.22,-43.379997,-33.78
1551338407862,619113345720687,-29.16,-42.96,-34.559998
1551338407880,619113365720732,-29.82,-42.719997,-34.559998
1551338407900,619113385720818,-29.22,-42.78,-34.739998
1551338407922,619113405720859,-29.039999,-42.36,-34.8
1551338407940,619113425720899,-29.34,-42.54,-34.2
1551338407960,619113445720937,-28.98,-42.719997,-34.14
1551338407982,619113465720937,-29.46,-42.6,-33.3
1551338408000,619113485720972,-29.88,-42.6,-33.0
1551338408020,619113505720972,-30.119999,-42.42,-33.059998
1551338408042,619113525720972,-30.66,-42.239998,-33.12
1551338408061,619113545721005,-30.779999,-42.3,-32.7
1551338408081,619113565721005,-31.32,-42.54,-32.64
1551338408102,619113585721005,-31.5,-42.96,-31.8
1551338408121,619113605721005,-31.74,-43.5,-30.9
1551338408151,619113625720971,-31.859999,-43.98,-30.48
1551338408163,619113645754071,-31.199999,-44.579998,-29.76
1551338408182,619113665787404,-31.32,-45.18,-29.76
1551338408202,619113685820470,-31.019999,-45.239998,-29.76
1551338408224,619113705853570,-31.199999,-45.48,-29.699999
1551338408242,619113725887670,-31.439999,-46.02,-28.74
1551338408262,619113745920770,-31.32,-46.26,-27.9
1551338408284,619113765953836,-31.08,-47.1,-26.82
1551338408302,619113785986902,-31.5,-47.82,-26.58
1551338408321,619113806019968,-31.619999,-47.64,-26.76
1551338408413,619113826052701,-31.74,-47.219997,-26.76
1551338408413,619113846086001,-32.1,-47.16,-27.359999
1551338408413,619113866118767,-31.5,-46.86,-27.359999
1551338408414,619113886151467,-32.219997,-46.739998,-26.76
1551338408419,619113906185600,-32.64,-46.98,-26.939999
1551338408438,619113926218900,-33.719997,-46.86,-26.16
1551338408461,619113946254033,-34.5,-46.98,-25.619999
1551338408479,619113966286733,-34.5,-47.219997,-25.619999
1551338408500,619113986319733,-34.559998,-47.219997,-25.5
1551338408520,619114006352433,-34.2,-47.52,-25.92
1551338408539,619114026385466,-34.02,-47.7,-25.859999
1551338408561,619114046418766,-34.02,-47.879997,-25.859999
1551338408584,619114066452132,-33.84,-47.94,-25.619999
1551338408603,619114086485098,-33.3,-47.76,-24.96
1551338408619,619114106517864,-33.48,-47.82,-24.779999
1551338408641,619114126550597,-33.66,-47.82,-24.84
1551338408661,619114146583297,-33.719997,-47.94,-24.96
1551338408682,619114166616663,-34.32,-48.18,-24.72
1551338408703,619114186649996,-34.44,-48.539997,-24.18
1551338408721,619114206683329,-34.559998,-48.899998,-23.46
1551338408741,619114226716695,-35.219997,-49.379997,-22.68
1551338408763,619114246716928,-35.46,-49.14,-22.68
1551338408780,619114266716361,-35.88,-49.02,-22.56
1551338408801,619114286716027,-36.48,-48.66,-22.74
1551338408821,619114306715660,-36.719997,-48.66,-22.439999
1551338408838,619114326714326,-37.739998,-48.899998,-22.5
1551338408858,619114346714192,-38.219997,-48.719997,-22.38
1551338408883,619114366714125,-38.34,-48.539997,-22.14
1551338408918,619114386713758,-38.94,-47.82,-22.14
1551338408969,619114406713424,-38.82,-47.46,-21.42
1551338408970,619114426713457,-39.18,-47.219997,-21.18
1551338408970,619114446712823,-39.84,-47.46,-18.66
1551338408980,619114466712789,-39.78,-47.28,-17.039999
1551338409001,619114486713422,-39.66,-46.92,-17.16
1551338409021,619114506233910,-40.02,-47.52,-16.44
1551338409040,619114526233943,-40.02,-47.94,-16.74
1551338409063,619114546232143,-40.26,-47.219997,-17.46
1551338409083,619114566232743,-39.6,-47.52,-17.16
1551338409103,619114586266376,-40.14,-47.579998,-17.22
1551338409126,619114606333642,-41.219997,-47.28,-17.699999
1551338409145,619114626433908,-40.32,-47.34,-16.8
1551338409168,619114646567241,-40.8,-47.52,-16.08
1551338409187,619114666700541,-41.82,-47.399998,-15.719999
1551338409206,619114686834241,-41.64,-47.16,-14.82
1551338409227,619114707001474,-41.7,-46.86,-14.34
1551338409247,619114727168340,-42.18,-46.62,-14.04
1551338409267,619114747335606,-42.12,-47.52,-13.679999
1551338409288,619114767502239,-41.7,-47.46,-12.54
1551338409309,619114787668939,-42.0,-47.28,-12.059999
1551338409327,619114807835605,-42.719997,-47.28,-12.42
1551338409405,619114828035571,-42.84,-47.7,-12.12
1551338409406,619114848268904,-42.84,-48.6,-11.28
1551338409426,619114868536137,-42.66,-48.78,-10.559999
1551338409426,619114888803437,-42.66,-48.78,-10.08
1551338409430,619114909070703,-42.66,-48.3,-8.88
1551338409448,619114929337336,-42.54,-47.7,-7.68
1551338409469,619114949604402,-43.14,-48.0,-7.56
1551338409491,619114969871402,-43.86,-48.36,-8.28
1551338409511,619114990172068,-43.2,-48.239998,-8.34
1551338409531,619115010472668,-42.719997,-47.76,-7.62
1551338409552,619115030773234,-43.079998,-47.1,-7.2
1551338409572,619115051107200,-43.62,-47.46,-7.7999997
1551338409594,619115071474466,-43.32,-47.399998,-8.04
1551338409614,619115091841099,-42.42,-46.739998,-6.66
1551338409633,619115112208399,-42.18,-46.98,-6.0
1551338409654,619115132608965,-42.12,-47.039997,-5.7599998
1551338409677,619115153042331,-42.78,-46.92,-5.2799997
1551338409697,619115173508731,-43.5,-47.28,-4.3199997
1551338409716,619115193942064,-43.5,-47.219997,-3.84
1551338409737,619115214342064,-43.2,-47.039997,-4.2599998
1551338409758,619115234709164,-42.899998,-46.559998,-4.2599998
1551338409775,619115255042530,-42.84,-46.62,-4.08
1551338409795,619115275375596,-43.02,-47.46,-3.84
1551338409816,619115295708896,-42.66,-47.28,-3.54
1551338409835,619115316008929,-42.66,-46.44,-3.12
1551338409858,619115336309329,-42.96,-46.2,-2.9399998
1551338409876,619115356609362,-43.44,-45.84,-3.0
1551338409896,619115376909362,-43.559998,-45.6,-2.28
1551338409917,619115397242662,-43.559998,-45.36,-1.74
1551338409935,619115417576028,-43.98,-45.18,-1.62
1551338409956,619115437876028,-44.16,-45.539997,-1.1999999
1551338409977,619115458142694,-43.98,-45.36,-1.02
1551338409998,619115478409360,-43.739998,-45.12,-1.14
1551338410018,619115498675993,-43.44,-45.12,-1.0799999
1551338410039,619115518942693,-43.079998,-44.82,-0.96
1551338410059,619115539243293,-42.899998,-44.579998,-0.78
1551338410080,619115559576593,-43.44,-44.579998,-0.17999999
1551338410102,619115579909959,-44.28,-44.64,0.12
1551338410119,619115600209925,-44.28,-44.28,-0.17999999
1551338410141,619115620543291,-43.739998,-43.26,-0.12
1551338410163,619115640909957,-43.14,-43.079998,0.06
1551338410181,619115661243323,-43.739998,-42.899998,0.35999998
1551338410203,619115681543323,-44.579998,-42.239998,1.5
1551338410223,619115701876656,-44.579998,-41.94,2.1599998
1551338410243,619115722243322,-44.52,-41.52,2.1
1551338410263,619115742609988,-44.219997,-41.04,1.92
1551338410288,619115762943288,-44.16,-40.5,1.86
1551338410305,619115783243588,-45.0,-40.32,1.92
1551338410325,619115803576888,-45.6,-39.54,2.76
1551338410353,619115823943588,-45.42,-38.34,3.36
1551338410420,619115844309821,-45.899998,-37.38,3.6599998
1551338410420,619115864676454,-46.079998,-37.079998,4.98
1551338410420,619115885076754,-45.239998,-37.079998,6.24
1551338410431,619115905510087,-44.52,-36.48,6.7799997
1551338410448,619115925943420,-44.52,-36.12,6.42
1551338410468,619115946376753,-44.76,-35.64,5.46
1551338410487,619115966810053,-44.94,-35.88,5.2799997
1551338410509,619115987243419,-44.94,-36.42,4.44
1551338410530,619116007643419,-45.0,-35.64,3.8999999
1551338410549,619116028043385,-44.94,-34.98,4.74
1551338410569,619116048443418,-44.399998,-34.62,4.68
1551338410591,619116068843418,-44.399998,-34.32,4.7999997
1551338410610,619116089243451,-44.579998,-34.079998,4.8599997
1551338410630,619116109643451,-44.64,-33.78,4.38
1551338410651,619116130043417,-44.399998,-34.02,4.44
1551338410671,619116150443417,-43.5,-34.02,5.16
1551338410692,619116170843417,-43.8,-33.12,5.16
1551338410713,619116191243383,-44.28,-32.34,4.92
1551338410732,619116211643383,-43.62,-32.64,5.7599998
1551338410750,619116232010516,-43.62,-32.1,6.0
1551338410775,619116252343282,-42.899998,-31.619999,5.2799997
1551338410793,619116272676582,-42.3,-31.859999,5.04
1551338410810,619116293009682,-42.719997,-30.96,5.1
1551338410832,619116313309682,-42.18,-30.66,4.98
1551338410938,619116333576315,-41.399998,-30.779999,4.8599997
1551338410939,619116353809681,-41.52,-30.359999,3.8999999
1551338410939,619116374043014,-41.82,-30.06,3.12
1551338410939,619116394276314,-41.34,-29.46,2.76
1551338410939,619116414476314,-41.16,-29.039999,2.46
1551338410951,619116434642947,-41.579998,-28.98,2.58
1551338410970,619116454809647,-40.739998,-28.859999,2.76
1551338410991,619116474976313,-39.059998,-28.439999,3.24
1551338411013,619116495109613,-38.28,-28.859999,3.36
1551338411032,619116515209646,-39.0,-28.619999,3.06
1551338411052,619116535309612,-39.0,-27.9,2.7
1551338411073,619116555409645,-38.16,-27.48,3.3
1551338411092,619116575509645,-38.46,-27.539999,3.48
1551338411112,619116595609611,-38.399998,-27.779999,2.9399998
1551338411133,619116615709644,-37.62,-27.359999,2.22
1551338411151,619116635809377,-36.84,-27.119999,1.56
1551338411172,619116655909343,-37.14,-27.359999,1.68
1551338411194,619116676009376,-37.559998,-27.48,2.04
1551338411213,619116696076009,-37.2,-27.0,2.04
1551338411232,619116716142709,-37.14,-27.0,1.1999999
1551338411252,619116736209375,-36.3,-26.76,1.02
1551338411272,619116756242708,-36.48,-26.519999,1.56
1551338411292,619116776242708,-36.66,-26.099998,1.26
1551338411315,619116796242708,-36.84,-25.5,0.84
1551338411333,619116816242708,-36.719997,-25.019999,1.3199999
1551338411418,619116836242241,-35.579998,-24.539999,1.0799999
1551338411418,619116856276141,-35.399998,-23.939999,0.29999998
1551338411418,619116876309507,-35.7,-23.64,0.9
1551338411418,619116896343073,-35.64,-23.279999,0.84
1551338411434,619116916409773,-35.28,-23.1,0.65999997
1551338411453,619116936509773,-34.14,-22.92,1.26
1551338411477,619116956609739,-34.5,-22.08,1.26
1551338411495,619116976709772,-35.64,-21.359999,0.65999997
1551338411515,619116996843105,-35.64,-21.0,-1.14
1551338411536,619117017009771,-35.28,-21.0,-1.92
1551338411558,619117037176437,-34.5,-20.939999,-1.62
1551338411578,619117057343070,-34.14,-20.4,-1.74
1551338411597,619117077543103,-33.96,-19.92,-2.6399999
1551338411620,619117097776436,-34.2,-19.38,-3.3
1551338411640,619117118043069,-34.44,-18.539999,-3.0
1551338411661,619117138309769,-34.14,-18.6,-3.12
1551338411682,619117158576402,-33.84,-18.06,-3.54
1551338411701,619117178876435,-34.02,-17.34,-3.8999999
1551338411722,619117199209768,-34.2,-17.22,-3.6599998
1551338411744,619117219543068,-33.54,-15.839999,-2.7
1551338411762,619117239876668,-32.88,-15.599999,-2.3999999
1551338411783,619117260210001,-33.0,-16.5,-3.78
1551338411802,619117280543034,-32.7,-16.38,-4.44
1551338411821,619117300876367,-32.579998,-16.5,-4.62
1551338411842,619117321243000,-32.88,-16.56,-4.62
1551338411864,619117341609700,-32.7,-16.02,-5.04
1551338411883,619117361976366,-32.34,-15.9,-5.64
1551338411905,619117382376399,-32.64,-15.48,-5.7
1551338411927,619117402809732,-32.7,-14.82,-5.58
1551338411945,619117423242798,-32.04,-14.5199995,-4.92
1551338411965,619117443676131,-31.859999,-14.4,-4.2599998
1551338411986,619117464076131,-32.579998,-14.46,-4.38
1551338412005,619117484476097,-32.82,-14.639999,-5.4
1551338412026,619117504876130,-32.219997,-13.799999,-6.18
1551338412062,619117525242763,-32.1,-13.5,-5.94
1551338412064,619117545576096,-31.56,-13.799999,-5.7599998
1551338412084,619117565909462,-31.38,-13.74,-6.3599997
1551338412107,619117586276095,-32.399998,-13.259999,-6.72
1551338412131,619117606609461,-32.28,-12.48,-7.14
1551338412146,619117626909461,-31.679998,-12.78,-6.8999996
1551338412168,619117647242827,-31.679998,-12.24,-7.02
1551338412189,619117667609493,-31.859999,-11.16,-7.68
1551338412209,619117687976126,-32.04,-11.219999,-7.8599997
1551338412231,619117708309492,-32.1,-11.219999,-8.28
1551338412248,619117728609492,-31.92,-10.86,-8.34
1551338412268,619117748909458,-31.859999,-10.62,-8.58
1551338412290,619117769209491,-31.679998,-9.9,-8.82
1551338412309,619117789476124,-31.199999,-9.66,-9.059999
1551338412330,619117809742824,-31.08,-9.78,-9.719999
1551338412439,619117830009490,-31.32,-10.139999,-9.24
1551338412439,619117850276190,-30.48,-10.5,-9.48
1551338412439,619117870576190,-30.06,-9.84,-10.08
1551338412439,619117890909790,-30.179998,-9.719999,-9.54
1551338412439,619117911243156,-30.0,-10.26,-9.36
1551338412450,619117931543156,-30.42,-10.139999,-9.84
1551338412472,619117951876456,-30.66,-10.32,-9.66
1551338412493,619117972243122,-30.24,-10.139999,-9.66
1551338412513,619117992609755,-29.82,-9.24,-10.139999
1551338412535,619118012943121,-29.88,-9.54,-10.2
1551338412555,619118033276721,-29.939999,-10.08,-10.5
1551338412577,619118053643354,-29.58,-9.9,-10.86
1551338412599,619118074043387,-29.16,-10.38,-10.5
1551338412617,619118094443387,-28.68,-10.44,-10.139999
1551338412638,619118114843387,-28.619999,-9.78,-10.86
1551338412659,619118135276720,-29.64,-10.08,-10.62
1551338412679,619118155743386,-30.0,-9.66,-10.26
1551338412699,619118176210019,-29.46,-9.599999,-9.9
1551338412720,619118196643352,-29.099998,-10.0199995,-9.3
1551338412741,619118217109985,-28.98,-9.54,-10.26
1551338412759,619118237576051,-28.8,-9.54,-10.74
1551338412781,619118258009084,-28.8,-9.54,-10.62
1551338412799,619118278409117,-28.56,-9.719999,-10.92
1551338412819,619118298775783,-28.14,-9.96,-10.86
1551338412839,619118319141849,-28.019999,-9.84,-10.74
1551338412859,619118339508515,-28.439999,-10.0199995,-11.4
1551338412879,619118359875181,-28.92,-10.62,-11.759999
1551338412901,619118380241814,-28.439999,-10.679999,-11.5199995
1551338412920,619118400608480,-27.72,-9.78,-11.82
1551338412941,619118420941780,-28.08,-9.719999,-12.48
1551338412962,619118441275146,-28.32,-9.96,-12.179999
1551338412980,619118461608446,-27.539999,-10.0199995,-12.0
1551338413001,619118481908479,-27.3,-10.08,-12.48
1551338413022,619118502175145,-27.84,-10.139999,-12.9
1551338413042,619118522441778,-28.14,-9.78,-13.38
1551338413060,619118542708478,-28.26,-9.3,-13.139999
1551338413081,619118562941811,-27.96,-9.66,-12.78
1551338413100,619118583141811,-27.539999,-10.2,-12.9
1551338413120,619118603308477,-27.06,-9.9,-13.0199995
1551338413142,619118623475110,-27.359999,-10.2,-13.32
1551338413160,619118643641810,-28.019999,-10.26,-13.5
1551338413180,619118663775143,-27.06,-9.54,-13.259999
1551338413201,619118683875109,-25.74,-9.42,-14.04
1551338413220,619118703975142,-25.74,-9.36,-14.5199995
1551338413240,619118724075108,-25.8,-10.08,-14.34
1551338413261,619118744141808,-26.279999,-9.78,-14.7
1551338413279,619118764175141,-27.0,-8.76,-14.88
1551338413299,619118784208474,-27.0,-9.48,-14.219999
1551338413322,619118804241840,-26.519999,-10.08,-13.799999
1551338413340,619118824241840,-26.46,-9.84,-14.28
1551338413408,619118844242440,-26.46,-9.54,-14.219999
1551338413408,619118864242740,-26.4,-9.78,-14.7
1551338413408,619118884242706,-26.16,-9.719999,-15.0
1551338413421,619118904242739,-25.14,-9.059999,-14.94
1551338413440,619118924243305,-25.019999,-9.36,-15.719999
1551338413458,619118944243305,-25.08,-9.42,-15.839999
1551338413478,619118964243038,-25.619999,-9.96,-15.12
1551338413500,619118984243038,-26.099998,-10.2,-15.42
1551338413519,619119004243038,-25.199999,-9.66,-16.199999
1551338413542,619119024276371,-24.24,-10.08,-16.08
1551338413562,619119044309671,-24.0,-10.38,-16.199999
1551338413581,619119064343037,-24.6,-10.139999,-16.38
1551338413602,619119084409670,-24.42,-10.32,-15.719999
1551338413624,619119104509703,-24.48,-10.139999,-15.78
1551338413644,619119124609703,-24.72,-9.54,-16.26
1551338413663,619119144709669,-24.72,-9.66,-16.32
1551338413686,619119164843035,-25.26,-9.12,-16.08
1551338413704,619119184976368,-25.019999,-9.24,-15.36
1551338413724,619119205109701,-24.66,-9.96,-15.48
1551338413747,619119225276367,-24.66,-9.3,-15.839999
1551338413770,619119245443000,-24.96,-9.0,-15.54
1551338413784,619119265609700,-24.84,-8.82,-15.599999
1551338413806,619119285809433,-24.779999,-9.42,-15.599999
1551338413825,619119306009399,-24.42,-10.0199995,-15.54
1551338413845,619119326209432,-23.76,-9.66,-16.199999
1551338413867,619119346409398,-23.82,-9.599999,-16.32
1551338413886,619119366642764,-23.519999,-10.08,-15.839999
1551338413908,619119386909430,-23.58,-9.84,-16.02
1551338413930,619119407209396,-23.4,-10.08,-16.199999
1551338413950,619119427509129,-23.16,-10.2,-16.32
1551338413968,619119447809129,-23.88,-10.08,-16.56
1551338413993,619119468109095,-23.4,-10.0199995,-16.98
1551338414008,619119488409128,-22.74,-9.84,-16.5
1551338414028,619119508709094,-22.56,-10.0199995,-16.619999
1551338414050,619119529009127,-22.38,-10.32,-17.16
1551338414068,619119549309127,-22.26,-10.08,-17.16
1551338414088,619119569609427,-22.02,-10.139999,-17.76
1551338414111,619119589942760,-22.199999,-10.679999,-17.88
1551338414129,619119610276093,-21.84,-10.32,-18.24
1551338414151,619119630575826,-21.3,-10.32,-18.06
1551338414170,619119650875826,-21.3,-10.26,-17.82
1551338414189,619119671175792,-20.64,-10.26,-18.0
1551338414209,619119691442492,-21.06,-10.92,-17.94
1551338414230,619119711675792,-21.119999,-10.98,-18.359999
1551338414249,619119731909158,-20.4,-11.28,-18.42
1551338414269,619119752142491,-20.4,-11.4,-18.06
1551338414292,619119772375791,-20.699999,-11.639999,-18.24
1551338414310,619119792609157,-21.119999,-11.88,-18.72
1551338414330,619119812842490,-20.88,-10.679999,-18.6
1551338414402,619119833075823,-20.88,-10.32,-18.359999
1551338414402,619119853342489,-21.0,-10.44,-18.539999
1551338414402,619119873609122,-20.699999,-10.32,-18.72
1551338414413,619119893842755,-20.34,-10.08,-18.6
1551338414432,619119914109421,-20.88,-10.32,-18.119999
1551338414453,619119934409387,-21.42,-10.559999,-18.119999
1551338414474,619119954709420,-21.119999,-10.559999,-17.82
1551338414493,619119974976053,-20.34,-10.8,-17.4
1551338414514,619119995242753,-20.22,-10.44,-17.64
1551338414539,619120015509419,-20.46,-9.78,-18.24
1551338414563,619120035809719,-19.92,-9.66,-19.08
1551338414579,619120056109719,-19.74,-10.0199995,-19.14
1551338414603,619120076409719,-19.859999,-10.26,-18.24
1551338414619,619120096743052,-19.92,-10.08,-18.0
1551338414640,619120117109718,-20.16,-9.66,-17.76
1551338414728,619120137476351,-21.06,-10.0199995,-18.06
1551338414728,619120157843051,-21.24,-9.84,-18.6
1551338414728,619120178243017,-20.88,-9.24,-18.9
1551338414728,619120198643017,-20.58,-9.0,-19.5
1551338414740,619120219043050,-20.039999,-8.28,-19.74
1551338414759,619120239442716,-20.22,-8.4,-19.8
1551338414782,619120259842749,-19.619999,-9.42,-19.199999
1551338414800,619120280242482,-18.9,-9.42,-18.359999
1551338414822,619120300642482,-19.8,-9.36,-18.3
1551338414842,619120321042482,-19.74,-9.3,-19.08
1551338414862,619120341442448,-19.439999,-9.059999,-19.619999
1551338414882,619120361842481,-19.5,-9.42,-19.199999
1551338414904,619120382209147,-19.26,-9.42,-18.539999
1551338414924,619120402609113,-19.38,-9.0,-19.14
1551338414942,619120423009146,-19.439999,-8.82,-19.92
1551338414964,619120443375812,-19.859999,-9.42,-19.439999
1551338414982,619120463709178,-19.56,-9.48,-19.38
1551338415003,619120484042511,-19.8,-9.48,-19.38
1551338415023,619120504375811,-20.52,-9.48,-19.199999
1551338415042,619120524675811,-19.619999,-9.24,-19.199999
1551338415062,619120544942477,-19.26,-9.78,-19.08
1551338415084,619120565209110,-20.16,-9.54,-19.98
1551338415103,619120585475810,-20.34,-8.88,-20.52
1551338415122,619120605709110,-19.8,-8.46,-20.16
1551338415143,619120625909143,-19.74,-8.5199995,-19.74
1551338415164,619120646075776,-19.92,-8.76,-20.34
1551338415183,619120666242476,-20.52,-8.88,-20.88
1551338415203,619120686409142,-20.939999,-8.94,-20.22
1551338415221,619120706542442,-20.58,-8.34,-19.98
1551338415240,619120726642442,-20.52,-8.22,-20.699999
1551338415263,619120746742442,-20.939999,-9.48,-20.699999
1551338415281,619120766842408,-20.88,-9.12,-20.279999
1551338415302,619120786908841,-19.98,-7.74,-21.119999
1551338415323,619120806942174,-20.34,-7.74,-21.84
1551338415343,619120827008840,-20.699999,-6.8999996,-21.42
1551338415405,619120847109440,-21.119999,-7.3799996,-21.06
1551338415405,619120867242740,-21.0,-8.4,-21.42
1551338415405,619120887376373,-21.06,-7.98,-22.26
1551338415426,619120907509673,-21.9,-7.62,-22.439999
1551338415447,619120927676373,-21.9,-7.74,-22.439999
1551338415467,619120947876373,-22.02,-7.62,-22.859999
1551338415486,619120968076339,-22.08,-7.8599997,-22.92
1551338415509,619120988276372,-21.96,-8.88,-22.859999
1551338415528,619121008443038,-21.539999,-8.82,-22.5
1551338415548,619121028609671,-21.48,-8.58,-22.859999
1551338415570,619121048776371,-21.539999,-8.94,-23.46
1551338415589,619121068976337,-21.779999,-9.12,-24.06
1551338415610,619121089209703,-21.84,-9.179999,-24.18
1551338415631,619121109443036,-22.199999,-9.179999,-23.039999
1551338415650,619121129676369,-22.859999,-9.36,-22.92
1551338415671,619121149943035,-23.039999,-9.48,-23.46
1551338415694,619121170243035,-22.56,-9.36,-24.18
1551338415712,619121190543001,-22.8,-9.719999,-23.939999
1551338415732,619121210843001,-23.039999,-9.54,-23.82
1551338415752,619121231142701,-22.859999,-9.059999,-24.72
1551338415777,619121251442467,-23.16,-8.94,-24.66
1551338415792,619121271742433,-22.859999,-9.0,-23.82
1551338415810,619121292041866,-23.039999,-8.82,-23.88
1551338415830,619121312341866,-24.18,-8.5199995,-24.779999
1551338415851,619121332641866,-24.84,-9.0,-24.72
1551338415875,619121352975232,-25.08,-8.94,-24.779999
1551338415897,619121373308565,-24.9,-8.16,-25.199999
1551338415912,619121393642131,-24.96,-7.9199996,-25.26
1551338415935,619121414008797,-25.14,-8.28,-25.38
1551338415954,619121434342097,-24.539999,-8.34,-25.8
1551338415975,619121454642097,-24.66,-7.98,-25.56
1551338415995,619121474908763,-24.6,-8.28,-25.14
1551338416014,619121495175396,-24.72,-8.46,-25.8
1551338416034,619121515442096,-25.32,-8.46,-26.099998
1551338416056,619121535675396,-25.439999,-8.4,-26.22
1551338416075,619121555875429,-25.68,-8.4,-26.4
1551338416094,619121576075429,-25.14,-9.059999,-26.46
1551338416116,619121596275395,-25.019999,-9.36,-26.34
1551338416135,619121616475428,-25.439999,-9.3,-25.859999
1551338416155,619121636675428,-25.56,-9.24,-26.88
1551338416177,619121656875394,-25.5,-9.599999,-27.359999
1551338416195,619121677042094,-25.619999,-9.66,-26.88
1551338416216,619121697175394,-26.099998,-9.54,-26.76
1551338416238,619121717342094,-26.22,-9.96,-26.64
1551338416256,619121737508760,-26.279999,-9.96,-27.119999
1551338416277,619121757642093,-26.34,-9.599999,-27.9
1551338416297,619121777775426,-26.34,-10.0199995,-27.779999
1551338416316,619121797942092,-26.279999,-9.719999,-27.359999
1551338416337,619121818108758,-25.92,-9.179999,-26.82
1551338416431,619121838275691,-26.22,-10.08,-26.88
1551338416431,619121858475924,-26.76,-10.38,-27.3
1551338416431,619121878709290,-26.82,-10.38,-27.42
1551338416431,619121898943190,-26.939999,-10.38,-27.9
1551338416439,619121919176556,-27.119999,-10.8,-26.699999
1551338416458,619121939443222,-27.48,-11.28,-25.8
1551338416480,619121959676522,-27.72,-11.7,-25.98
1551338416499,619121979909888,-27.84,-12.599999,-26.46
1551338416519,619122000143221,-27.9,-13.0199995,-27.06
1551338416541,619122020376587,-28.199999,-13.32,-27.06
1551338416560,619122040609920,-27.96,-13.38,-27.119999
1551338416581,619122060843253,-27.48,-13.799999,-27.119999
1551338416603,619122081109953,-27.3,-13.679999,-27.18
1551338416624,619122101443286,-27.539999,-12.96,-26.88
1551338416645,619122121809919,-28.619999,-13.2,-26.82
1551338416667,619122142209919,-28.859999,-13.86,-27.3
1551338416686,619122162609885,-28.439999,-14.34,-27.119999
1551338416706,619122183009918,-28.74,-14.28,-27.06
1551338416727,619122203409918,-29.16,-14.219999,-27.84
1551338416746,619122223809918,-28.92,-14.46,-27.779999
1551338416767,619122244209318,-28.38,-14.34,-27.3
1551338416786,619122264608718,-28.8,-13.92,-27.539999
1551338416804,619122285008684,-29.4,-14.28,-27.24
1551338416823,619122305408417,-29.58,-14.639999,-27.119999
1551338416846,619122325775050,-30.06,-14.759999,-27.24
1551338416867,619122346141750,-29.76,-15.059999,-27.66
1551338416886,619122366508416,-29.82,-15.12,-27.9
1551338416910,619122386841782,-30.119999,-14.94,-27.9
1551338416926,619122407141782,-29.46,-15.36,-27.96
1551338416945,619122427441782,-29.099998,-16.02,-27.48
1551338416966,619122447741815,-29.34,-16.38,-27.84
1551338416985,619122468008481,-29.34,-17.16,-28.859999
1551338417007,619122488275114,-29.4,-16.92,-28.859999
1551338417028,619122508575114,-29.099998,-16.92,-28.619999
1551338417048,619122528875080,-29.4,-17.64,-29.46
1551338417066,619122549141780,-30.0,-17.82,-29.46
1551338417090,619122569441780,-30.24,-17.4,-29.22
1551338417108,619122589775080,-30.0,-16.859999,-29.64
1551338417129,619122610108446,-30.119999,-17.46,-29.939999
1551338417151,619122630408412,-30.779999,-17.699999,-30.0
1551338417172,619122650741778,-30.779999,-17.46,-29.58
1551338417192,619122671108444,-30.539999,-17.82,-28.8
1551338417213,619122691441744,-30.359999,-18.6,-28.8
1551338417232,619122711708410,-30.66,-18.9,-28.74
1551338417253,619122731975076,-30.9,-18.42,-29.279999
1551338417275,619122752241742,-30.179998,-17.88,-30.0
1551338417295,619122772508408,-30.42,-17.88,-29.519999
1551338417314,619122792775041,-30.84,-17.76,-30.84
1551338417335,619122813041741,-30.3,-17.46,-31.859999
1551338417419,619122833341707,-30.66,-17.22,-30.66
1551338417419,619122853642340,-30.599998,-17.279999,-30.48
1551338417419,619122873942940,-30.42,-17.22,-30.539999
1551338417419,619122894242940,-30.779999,-16.56,-30.06
1551338417433,619122914543240,-30.599998,-17.4,-30.359999
1551338417455,619122934843240,-30.72,-18.3,-30.96
1551338417474,619122955143206,-31.32,-17.88,-30.96
1551338417494,619122975443206,-31.56,-17.52,-30.779999
1551338417515,619122995742906,-31.74,-17.64,-31.08
1551338417534,619123016042939,-32.1,-18.119999,-31.14
1551338417557,619123036342939,-31.679998,-18.42,-30.3
1551338417576,619123056642905,-31.08,-18.66,-30.06
