timestamp,ssid,bssid,frequency,rss,wifiNo,legit
7585990807064,eduroam,24:de:c6:ec:65:a1,2412,-53,0,false
7585990807082,Welcome_KAIST,24:de:c6:ec:65:a0,2412,-54,0,false
7585990807124,Welcome_KAIST,24:de:c6:ec:65:b0,5220,-54,0,false
7585990807127,eduroam,24:de:c6:ec:65:b1,5220,-54,0,false
7585990807085,Dr.M_Testbed,90:9f:33:66:38:6c,2417,-55,0,false
7585990807262,Welcome_KAIST,24:de:c6:e3:26:e0,2472,-57,0,false
7585990807255,eduroam,24:de:c6:e3:26:e1,2472,-58,0,false
7585990807222,KI_Fu,90:9f:33:ac:7c:32,2442,-61,0,false
7585990807070,Welcome_KAIST,24:de:c6:e3:26:f0,5180,-62,0,false
7585990807073,eduroam,24:de:c6:e3:26:f1,5180,-62,0,false
7585990807152,Dr.M_Testbed,90:9f:33:65:38:6c,5745,-63,0,false
7585990807248,iptime,88:36:6c:cb:c5:dc,2452,-64,0,false
7585990807079,Welcome_KAIST,24:de:c6:e3:43:e0,2412,-65,0,false
7585990807097,eduroam,24:de:c6:e3:43:e1,2412,-65,0,false
7585990807207,Welcome_KAIST,24:de:c6:e3:43:f0,5805,-67,0,false
7585990807164,Welcome_KAIST,24:de:c6:db:1b:e0,2432,-67,0,false
7585990807200,,96:3b:ad:0e:b8:48,2442,-67,0,false
7585990807148,Welcome_KAIST,d8:c7:c8:de:3a:a1,2432,-68,0,false
7585990807211,eduroam,24:de:c6:e3:43:f1,5805,-68,0,false
7585990807146,eduroam,d8:c7:c8:de:3a:a0,2432,-69,0,false
7585990807236,eduroam,d8:c7:c8:df:02:60,2452,-69,0,false
7585990807225,med001,92:3b:ad:0e:b8:48,2442,-69,0,false
7585990807167,eduroam,24:de:c6:db:1b:e1,2432,-69,0,false
7585990807241,Welcome_KAIST,d8:c7:c8:df:02:61,2452,-70,0,false
7585990807219,med002,9e:3b:ad:0e:b8:48,2442,-70,0,false
7585990807245,eduroam,24:de:c6:db:15:21,2452,-72,0,false
7585990807121,eduroam,24:de:c6:db:1d:61,2412,-74,0,false
7585990807193,eduroam,00:24:6c:5b:7d:39,5785,-75,0,false
7585990807159,KI_Wifi,f8:32:e4:6c:7e:40,2427,-75,0,false
7585990807233,BOIME,70:5d:cc:5c:66:62,2447,-75,0,false
7585990807276,cnsleep,90:9f:33:bd:20:58,2472,-75,0,false
7585990807133,eduroam,d8:c7:c8:de:fb:30,5240,-75,0,false
7585990807139,Welcome_KAIST,d8:c7:c8:de:fb:31,5240,-75,0,false
7585990807197,MVnet,88:36:6c:70:9a:12,2427,-75,0,false
7585990807258,KIEED,88:36:6c:c2:31:32,2467,-75,0,false
7585990807190,Welcome_KAIST,00:24:6c:5b:7d:38,5785,-76,0,false
7585990807229,EMDL403,88:36:6c:33:b1:b8,2442,-77,0,false
7585990807100,eduroam,24:de:c6:e3:42:c1,2412,-77,0,false
7585990807183,Welcome_KAIST,00:24:6c:5b:96:48,5765,-79,0,false
7585990807251,KIITC303,88:36:6c:bc:d7:42,2457,-79,0,false
7585990807279,Welcome_KAIST,24:de:c6:e3:28:e0,2472,-79,0,false
7585990807178,Welcome_KAIST,d8:c7:c8:df:02:71,5765,-80,0,false
7585990807171,iptime5G,88:36:6c:cb:c5:de,5745,-80,0,false
7585990807186,eduroam,00:24:6c:5b:96:49,5765,-80,0,false
7585990807175,eduroam,d8:c7:c8:df:02:70,5765,-81,0,false
7585990807265,Welcome_KAIST,24:de:c6:db:1c:a0,2472,-81,0,false
